Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,75.34116543,75.16471788,75.00083548,74.85627412,74.73778966,74.65213797,74.60607494,74.52694704,74.29926474,74.05983553
Afghanistan,AFG,Urban population,SP.URB.TOTL,8556767,8863448,9185453,9518439,9869688,10139249,10304561,10559793,10960719,11373235
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,17159297,17649936,18178417,18736474,19343529,19813956,20103167,20530683,21114952,21701532
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,17541315,18038999,18564622,19119647,19725450,20186456,20475675,20924078,21532540,22142579
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,38.732,38.171,37.624,37.138,36.601,36.342,36.045,35.437,..,34.391
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.32,7.315,7.271,7.064,7.565,8.002,5.993,5.797,..,5.608
Africa Eastern and Southern,AFE,Rural population (% of total population),SP.RUR.TOTL.ZS,65.11878933,64.71701317,64.28528154,63.9026693,63.51167804,63.09145739,62.63942189,62.22769876,61.75855857,61.29785301
Africa Eastern and Southern,AFE,Urban population,SP.URB.TOTL,217438796,225831843,234931804,243999977,253391731,263191471,273412702,283477860,294184099,305299866
Africa Eastern and Southern,AFE,"Population, female",SP.POP.TOTL.FE.IN,315139785,323559276,332453754,341569862,350869705,360249371,369655503,379019549,388455181,398291465
Africa Eastern and Southern,AFE,"Population, male",SP.POP.TOTL.MA.IN,308229616,316499465,325347331,334380327,343576395,352841557,362165890,371471821,380825707,390553319
Africa Eastern and Southern,AFE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,35.06786591,34.81399233,34.58361483,34.33588144,34.0104704,33.68133619,33.32043305,32.95528739,..,32.12341741
Africa Eastern and Southern,AFE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.242131807,8.078589537,7.673568548,7.462279353,7.540022047,7.9136458,7.245162949,6.978621043,..,6.851627477
Africa Western and Central,AFW,Rural population (% of total population),SP.RUR.TOTL.ZS,51.8260296,51.25258612,50.6820524,50.10992485,49.52368212,48.92760301,48.31830589,47.71709181,47.14043578,46.54201555
Africa Western and Central,AFW,Urban population,SP.URB.TOTL,206885400,214919014,223013744,231173361,239545135,248171501,257058120,266328396,275802216,285433516
Africa Western and Central,AFW,"Population, female",SP.POP.TOTL.FE.IN,213499543,219113878,224672701,230166416,235687925,241282911,246948301,252899429,259011880,265017825
Africa Western and Central,AFW,"Population, male",SP.POP.TOTL.MA.IN,215955200,221769028,227523214,233199013,238881426,244638086,250438879,256499160,262752196,268922090
Africa Western and Central,AFW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,37.85911694,36.95809359,36.04590088,35.17658753,34.41767531,34.10154522,33.75141902,33.45518034,..,32.73382515
Africa Western and Central,AFW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.20793501,11.02634245,10.73832897,10.69544475,10.44927243,10.39801927,10.33758673,9.64037517,..,9.475695816
Albania,ALB,Rural population (% of total population),SP.RUR.TOTL.ZS,44.42612655,44.01972357,43.62299974,43.23609287,42.85914078,42.4922813,42.13565223,41.78939139,41.4536366,41.12852567
Albania,ALB,Urban population,SP.URB.TOTL,1494642,1482517,1470162,1457584,1444795,1431805,1418623,1405259,1391722,1386598
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1358469,1337556,1316971,1296660,1277067,1258129,1239289,1220548,1202069,1191287
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1331000,1310729,1290762,1271141,1251413,1231633,1212347,1193547,1175059,1164010
